,title,price,img,post,condition
44,Chauvet DMX-6 DMX Junior Lighting Controller,50,https://images.craigslist.org/00n0n_dyqS32uR2ct_600x450.jpg,Very Good Condition!,good
45,2015 Fender American Standard Stratocaster HSS Shawbucker,1240,https://images.craigslist.org/00808_cAZuUIQmUfC_600x450.jpg,Mint- Condition!,like new
46,Knilling Sinfonia SH151 Student 1/2-Size Cello,520,https://images.craigslist.org/00Z0Z_bnUHkGnXGuc_600x450.jpg,"Good Cosmetic Condition, but Great Playing Condition!",good
47,2002 Ibanez RG470L Left-Handed Guitar,415,https://images.craigslist.org/01111_gBdvaHuHvqG_600x450.jpg,Excellent Condition!,excellent
48,Wuhan cymbals,80,https://images.craigslist.org/00w0w_fA9EqOUk6ZY_600x450.jpg,"Three Wuhan cymbals barely used. Altogether they're $80. Separately:

Wuhan 16” crash - $40

Wuhan 20” ride - $60

Wuhan 14” hi hat - $10 

There is only one hi hat. These were barely used.",excellent
49,Vox AC15C1 15W 112 Tube Combo Amp,550,https://images.craigslist.org/00z0z_5GW9Jp78Ewq_600x450.jpg,Excellent+ Condition!,excellent
50,Stage Snake 12 channel 50ft,60,https://images.craigslist.org/00o0o_f8cuksSz3yq_600x450.jpg,A 50ft 12 channel snake. Works almost perfect except for the #1 input. But everything else works fantastic.,
51,Emerald Fuzz - Boutique Pedal,50,https://images.craigslist.org/00d0d_cxE8S4DszNf_600x450.jpg,Bought for $110. Made by an amazing local vendor in Virginia Beach. Works great but I wanted a different more specific fuzz pedal.,
52,Blackstar HT club 40 combo tube guitar amp,400,https://images.craigslist.org/00y0y_jtVjGOUbrYa_600x450.jpg,Used but not too much and in perfect working condition just not used at all and looking to get something for it. Open to trades of smaller amps + $$$...maybe pedals +$$$,
53,"1942 C.G. Conn 6M VIII ""Naked Lady"" Alto Sax",1340,https://images.craigslist.org/00a0a_j4opJ3HW8sG_600x450.jpg,"Good Cosmetic Condition, Stellar Playing Condition!",good
54,Charvel Desolation DX-1 ST Soloist Guitar,520,https://images.craigslist.org/00x0x_ggNaDureFyf_600x450.jpg,Excellent+ Condition!,excellent
55,Line 6 Spider V 30 Modeling Amplifier - like new,120,https://images.craigslist.org/00R0R_k4ULqhiWlbg_600x450.jpg,Like new aside from being a little dusty from lack of use.,
56,Fender Tie Dye Band of Gypsies Stratocaster 2004 - good condition,450,https://images.craigslist.org/00A0A_8yif3fXcWXq_600x450.jpg,"Good condition aside from being a little dusty from lack of use. Missing the cover piece for the truss rod but otherwise in great shape. Comes with gig bag and guitar stand pictured. Let me know if you have any questions. No trades, please.",
57,First Act ME502 Guitar,100,https://images.craigslist.org/00s0s_5rQCprH80BJ_600x450.jpg,Excellent+ Condition!,excellent
58,Yamaha DD-55c,140,https://images.craigslist.org/00Y0Y_gsrrrXWvMD6_600x450.jpg,Excellent Condition!,excellent
59,Road Runner RRM10U Slant Mixer Case,250,https://images.craigslist.org/00808_5StFrp2EloG_600x450.jpg,Excellent Condition!,excellent
60,1994 Epiphone El Capitan Acoustic-Electric Bass,620,https://images.craigslist.org/00o0o_7MGRnMOuwDc_600x450.jpg,Excellent+ Condition!,excellent
61,Elektron Analog Keys,900,https://images.craigslist.org/00K0K_lUIdKjX4weD_600x450.jpg,"Excellent condition Elektron AnalogKeys. Original owner, home use only. Will come with decksaver cover and original box.",like new
62,2010 Ibanez RGD320 Guitar,310,https://images.craigslist.org/01212_ikr8LGO61NR_600x450.jpg,"Very Good Cosmetic Condition, Amazing playing Condition!",good
63,2015 Schecter KM-7 Keith Merrow 7-String Guitar,720,https://images.craigslist.org/00A0A_jmt5kMSpAVq_600x450.jpg,Mint- Condition!,like new
64,Boss DS-1,30,https://images.craigslist.org/00c0c_fSEZCN5Sqej_600x450.jpg,Used but still works great. Only has a couple scratches on it.,excellent
65,Digitech Death Metal,30,https://images.craigslist.org/00X0X_OCEyThNq39_600x450.jpg,Digitech Death Metal distortion pedal. Works great just not what I needed.,excellent
66,Blue enCORE 100,40,https://images.craigslist.org/00202_gmGzcbMmAXx_600x450.jpg,"I have two Blue enCORE 100 dynamic vocal microphones. I've used them for live audio and recording purposes. Incredible with vocals and instruments as well (I even used them a couple times to record toms on a kit). Only have some chipped paint otherwise work fantastic. One for $40, two for $70.

Here are the specs from the Blue website:
Transducer Type: Dynamic moving coil
Polar Pattern: Cardioid
Frequency Response: 50Hz – 15kHZ
Sensitivity: 1.55 mV/PA
Output Impedance: 250 ohms
Maximum SPL: 147dB SPL
Weight: 0.4 kg (0.88 lbs.)
Dimensions – Length: 185mm / 7.3 inches
Dimensions – Diameter: 28mm / 1.10 inches (min); 50mm / 1.97 inches (max)",excellent
67,Blue enCORE 100i,40,https://images.craigslist.org/01616_9PlbAVJ5Qd9_600x450.jpg,"Two Blue enCORE 100i dynamic instrument microphones. Used these in the studio and live performances for guitar amps, acoustic, and snare drum (compare to the Shure SM57). Work great and little to no scratches. $40 for one, $70 for two.

Here are the tech specs from the website:
Transducer Type: Dynamic moving coil
Polar Pattern: Cardioid
Frequency Response: 50Hz – 16kHZ
Sensitivity: 1.1 mV/PA
Output Impedance: 150 ohms
Maximum SPL: 154dB SPL
Weight: 0.32 kg (0.72 lbs.)
Dimensions – Length: 175mm / 6.9 inches
Dimensions – Diameter: 23.3mm / 0.92 inches (min); 46.9mm / 1.84 inches (max)",excellent
